signal,method,trial,gap_size
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
vib_normal_0hp,IMP_INTERP_ERROR,0,1
